CarID,Brand,Model,Price,Year,Miles,Gear,Fuel,Color,InteriorColor,Drive,Power,Weight,NumberofSeats,Body,NumberofDoors,TaxClass,NextEUInspectionDate,CylinderVolume,Sold
295047951,BMW,3-serie,679000,2022,19700,Automat,El + Bensin,Grå,Sensatec perforated Black,Firehjulsdrift,292,1890,5,Stasjonsvogn,5,Personbil,10.05.2026,2,False
296153867,BMW,3-serie,600000,2021,24000,Automat,El + Bensin,White,Svart,Firehjulsdrift,292,1890,5,Stasjonsvogn,5,Personbil,20.08.2025,2,False
296745203,BMW,4-serie,229000,2014,146500,Automat,Diesel,Sølv,Sort stoff/alcantara,Bakhjulsdrift,184,1465,4,Coupe,2,Personbil,26.04.2023,2,False
295815320,BMW,3-serie,234147,2014,194125,Automat,Diesel,Black,Grå alcantara,Firehjulsdrift,163,1585,5,Stasjonsvogn,5,Personbil,31.10.2024,2,False
259294637,BMW,6-serie,299229,1989,170000,Automat,Bensin,Grå,sort skinn,Bakhjulsdrift,211,1495,4,Sedan,1,Personbil,07.12.2021,2,False
295890573,BMW,3-serie,325000,2018,51000,Automat,Bensin,Grå,Antrasitt,Bakhjulsdrift,136,1490,5,Stasjonsvogn,5,Personbil,30.06.2022,2,False
297388299,BMW,5-serie,475000,2022,49000,Automat,El + Bensin,Black,Ivory White Dakotaskinn,Firehjulsdrift,292,1895,5,Sedan,4,Personbil,02.12.2025,2,False
293560057,BMW,5-serie,489000,2020,59500,Automat,El + Bensin,Blå,Sort Dakotaskinn,Firehjulsdrift,292,1860,5,Sedan,4,Personbil,18.02.2024,2,False
295992516,BMW,3-serie,109147,2013,209000,Manuell,Diesel,Blå,svart,Bakhjulsdrift,230,1410,5,Sedan,5,Personbil,28.03.2025,2,False
296654848,BMW,5-serie,319000,2017,66999,Automat,El + Bensin,Grå,Lyst skinn,Bakhjulsdrift,252,1770,5,Sedan,4,Personbil,31.01.2023,2,False
296853540,BMW,3-serie,191777,2009,150000,Automat,Diesel,Black,Sort skinn,Bakhjulsdrift,231,1840,4,Cabriolet,2,Personbil,11.03.2024,3,False
294923116,BMW,3-serie,575868,2020,25000,Automat,Diesel,Black,"Sort skinn - ""Leather Vernasca"" med grå søm",Firehjulsdrift,190,1660,5,Stasjonsvogn,5,Personbil,30.06.2024,2,False
293832831,BMW,3-serie,429000,2020,51200,Automat,El + Bensin,Black,Sort skinn,Bakhjulsdrift,292,1770,5,Sedan,4,Personbil,28.02.2024,2,True
291751495,BMW,5-serie,329000,2018,163419,Automat,Diesel,Blå,Leather Dakota/black/Exclusive seam,Firehjulsdrift,190,1750,5,Stasjonsvogn,5,Personbil,31.03.2023,2,True
292163068,BMW,5-serie,468000,2020,32000,Automat,El + Bensin,Sølv,Svart,Firehjulsdrift,252,1860,5,Sedan,4,Personbil,12.11.2023,2,False
293575909,BMW,3-serie,579000,2022,18000,Automat,El + Bensin,Black,Sort Alcantara,Firehjulsdrift,292,1890,5,Stasjonsvogn,5,Personbil,14.02.2026,2,False
296782635,BMW,5-serie,695000,2022,23000,Automat,El + Bensin,Black,Sort Dakotaskinn,Firehjulsdrift,292,1960,5,Stasjonsvogn,5,Personbil,14.12.2025,2,False
294832639,BMW,5-serie,385000,2017,67390,Automat,El + Bensin,Black,Svart,Bakhjulsdrift,252,1850,5,Sedan,4,Personbil,26.01.2023,2,False
