 
CarID,Brand,Model,Price,Year,Miles,Gear,Fuel,Color,InteriorColor,Drive,Power,Weight,NumberofSeats,Body,NumberofDoors,TaxClass,NextEUInspectionDate,CylinderVolume,Sold
296689493,BMW,3-serie,156777,2007,261000,Automat,Diesel,Blå,Alcantara,Bakhjulsdrift,197,1525kg,4,Coupe,Personbil,30.08.2024,3l,,False
297414647,BMW,5-serie,279900,2015,136700,Automat,Diesel,Black,Firehjulsdrift,190,1840kg,5,Stasjonsvogn,5,Personbil,04.12.2023,2l,,False
296559319,BMW,3-serie,259900,2014,110000,Automat,Bensin,Black,Sort /,Firehjulsdrift,184,1575kg,5,Stasjonsvogn,Personbil,2l,,,False
297168742,BMW,3-serie,199147,2013,127000,Manuell,Diesel,Black,Hexagon/Alcantara/Antracit,Bakhjulsdrift,116,1475kg,5,Stasjonsvogn,7,Personbil,20.02.2024,2l,False
287449599,BMW,7-serie,66777,2002,272874,Automat,Bensin,Black,Bakhjulsdrift,333,1870kg,5,Sedan,Personbil,"4,4l",,,,False
298068973,BMW,3-serie,25777,1996,355000,Manuell,Bensin,Blå,Bakhjulsdrift,150,1345kg,5,Stasjonsvogn,27,Personbil,2l,,,False
280481448,BMW,5-serie,36729,2005,228912,Automat,Bensin,Grå,Bakhjulsdrift,177,1655kg,5,Stasjonsvogn,5,4,Personbil,"2,5l",,False
294420744,BMW,5-serie,279900,2013,176000,Automat,Diesel,Grå,Firehjulsdrift,258,1865kg,5,Stasjonsvogn,Personbil,3l,,,,False
296582408,BMW,5-serie,379000,2019,36762,Automat,El + Bensin,Sølv,Dakota Sort Skinn,Bakhjulsdrift,296,1770kg,5,Sedan,5,Personbil,2l,,False
297524845,BMW,3-serie,69000,2009,167000,Automat,Diesel,Grå,Bakhjulsdrift,143,1520kg,5,Stasjonsvogn,Personbil,2l,,,,False
296097815,BMW,3-serie,99000,1997,176000,Automat,Bensin,Fiolett,Sort skinn,Bakhjulsdrift,193,1540kg,4,Cabriolet,Personbil,"2,8l",,,False
262849884,BMW,3-serie,134034,2013,162000,Automat,Diesel,Black,Bakhjulsdrift,163,1500kg,5,Stasjonsvogn,5,4,Personbil,28.02.2023,2l,False
256179737,BMW,3-serie,100729,2002,255000,Manuell,Bensin,Black,Sort skinn.,Bakhjulsdrift,220,1430kg,5,Coupe,3,10,Personbil,"2,5l",False
295846374,BMW,3-serie,375947,2020,43000,Automat,El + Bensin,Grå,ALCAN.-/SEN.-KOMB./SCHW.KONTR.BLÅ,Bakhjulsdrift,292,5,Sedan,5,1,Personbil,2l,,False
295744256,BMW,3-serie,96777,2004,170800,Automat,Bensin,Blå,sort skinn,Bakhjulsdrift,170,4,Cabriolet,2,Personbil,31.08.2024,"2,2l",,False
297770790,BMW,3-serie,234777,1989,85000,Automat,Bensin,Black,Grå,Bakhjulsdrift,129,1210kg,5,Coupe,4,Personbil,18.10.2024,2l,False
296734552,BMW,3-serie,379947,2020,38200,Automat,El + Bensin,Black,Alcantara sensatec black / blue,Bakhjulsdrift,292,5,Sedan,5,1,Personbil,2l,,False
296115090,BMW,3-serie,241000,2015,143000,Manuell,Bensin,Blå,Sort Stoff.,Firehjulsdrift,184,1600kg,5,Stasjonsvogn,5,Personbil,18.05.2023,2l,False
269662785,BMW,3-serie GT,498900,2015,35000,Automat,Bensin,Black,Firehjulsdrift,306,1715kg,5,Sedan,4,1,Personbil,28.02.2024,3l,False
291317023,BMW,5-serie GT,199000,2013,165000,Automat,Diesel,Black,Bakhjulsdrift,184,1875kg,5,Personbil,2l,,,,,False
295769788,BMW,3-serie,199000,2011,67000,Automat,Bensin,Blå,Bakhjulsdrift,170,1465kg,4,Coupe,3,Personbil,2l,,,False
297556477,BMW,3-serie,379000,2020,67500,Automat,El + Bensin,Grå,Alcantara Sensatec.schwarz,Bakhjulsdrift,296,1740kg,5,Sedan,4,Personbil,2l,,False
